日期,平台,站点,店铺,广告活动,广告组,关键词,匹配方式,SKU,曝光,点击,花费,订单数,销量,广告销售额,币种
2026-08-18,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,7650,226,1005.18,7,7,4543,MXN
2026-08-18,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,8445,155,203.4,3,3,777,MXN
2026-08-18,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,4790,97,124.66,2,2,518,MXN
2026-08-18,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,6750,126,664.2,2,2,858,MXN
2026-08-18,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,3697,77,407.09,1,1,429,MXN
2026-08-19,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,16503,429,643.76,11,12,2388,MXN
2026-08-19,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,10353,274,394.57,6,6,1194,MXN
2026-08-19,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,12891,398,2414.96,12,13,8437,MXN
2026-08-19,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,6971,247,1480.14,8,8,5192,MXN
2026-08-19,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,8268,248,267.93,6,6,1554,MXN
2026-08-19,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,4946,137,164.22,3,3,777,MXN
2026-08-19,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7274,214,982.31,4,4,1716,MXN
2026-08-19,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4524,122,602.06,2,2,858,MXN
2026-08-20,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,13889,412,465.69,8,8,1592,MXN
2026-08-20,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,9168,237,285.43,6,6,1194,MXN
2026-08-20,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,11176,322,1561.22,10,10,6490,MXN
2026-08-20,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,6941,189,956.88,6,6,3894,MXN
2026-08-20,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,9255,249,336.37,6,6,1554,MXN
2026-08-20,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,5517,145,206.17,4,4,1036,MXN
2026-08-20,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,6944,125,577.6,2,2,858,MXN
2026-08-20,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,3881,74,354.02,1,1,429,MXN
2026-08-21,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,19555,514,554.01,12,12,2388,MXN
2026-08-21,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11246,304,339.56,7,7,1393,MXN
2026-08-21,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,11221,322,2235.26,11,12,7788,MXN
2026-08-21,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,7164,212,1370.0,8,8,5192,MXN
2026-08-21,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,8869,185,218.66,4,4,1036,MXN
2026-08-21,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,5439,106,134.01,2,2,518,MXN
2026-08-21,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7817,271,1350.15,4,4,1716,MXN
2026-08-21,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5398,159,827.51,2,2,858,MXN
2026-08-22,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,19255,531,669.42,13,14,2786,MXN
2026-08-22,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,12371,342,410.29,8,9,1791,MXN
2026-08-22,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,14963,404,2349.3,14,14,9086,MXN
2026-08-22,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8921,244,1439.9,9,9,5841,MXN
2026-08-22,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,13251,306,393.33,8,9,2331,MXN
2026-08-22,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,8127,204,241.08,4,4,1036,MXN
2026-08-22,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,10198,325,1783.67,6,6,2574,MXN
2026-08-22,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,6221,198,1093.21,3,3,1287,MXN
2026-08-23,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,24802,487,644.93,13,13,2587,MXN
2026-08-23,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,14216,285,395.28,7,7,1393,MXN
2026-08-23,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,15445,381,2145.88,10,11,7139,MXN
2026-08-23,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,9367,229,1315.21,7,7,4543,MXN
2026-08-23,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12426,351,474.16,8,8,2072,MXN
2026-08-23,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,8524,199,290.61,6,6,1554,MXN
2026-08-23,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8904,198,934.55,3,3,1287,MXN
2026-08-23,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5491,119,572.79,2,2,858,MXN
2026-08-24,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,17756,336,453.27,9,9,1791,MXN
2026-08-24,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,9910,222,277.81,5,5,995,MXN
2026-08-24,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,12276,224,1421.28,9,10,6490,MXN
2026-08-24,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8149,139,871.11,5,5,3245,MXN
2026-08-24,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,9180,222,234.04,5,5,1295,MXN
2026-08-24,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,5907,131,143.44,3,3,777,MXN
2026-08-24,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7378,198,1156.78,3,3,1287,MXN
2026-08-24,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5043,117,708.99,3,3,1287,MXN
2026-08-25,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,20217,626,906.76,20,20,3980,MXN
2026-08-25,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11274,364,555.76,11,11,2189,MXN
2026-08-25,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13145,327,2147.82,13,13,8437,MXN
2026-08-25,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8701,203,1316.41,7,7,4543,MXN
2026-08-25,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,11215,292,349.77,6,6,1554,MXN
2026-08-25,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6441,186,214.37,4,4,1036,MXN
2026-08-25,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7202,222,1040.86,4,4,1716,MXN
2026-08-25,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4244,141,637.94,2,2,858,MXN
2026-08-26,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,18808,611,701.38,19,19,3781,MXN
2026-08-26,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,12222,351,429.88,10,10,1990,MXN
2026-08-26,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,12779,358,2279.78,15,16,10384,MXN
2026-08-26,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,7889,232,1397.29,7,7,4543,MXN
2026-08-26,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,8673,269,262.69,5,5,1295,MXN
2026-08-26,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,5709,151,161.0,3,3,777,MXN
2026-08-26,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8686,215,869.31,3,3,1287,MXN
2026-08-26,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4959,132,532.81,2,2,858,MXN
2026-08-27,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,16444,411,550.65,13,13,2587,MXN
2026-08-27,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,9697,271,337.5,8,8,1592,MXN
2026-08-27,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13535,272,1528.51,10,11,7139,MXN
2026-08-27,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8640,177,936.83,5,5,3245,MXN
2026-08-27,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,9079,297,350.41,8,8,2072,MXN
2026-08-27,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6211,186,214.76,4,4,1036,MXN
2026-08-27,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,6683,162,795.75,3,3,1287,MXN
2026-08-27,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4338,100,487.72,1,1,429,MXN
2026-08-28,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,17025,419,478.82,11,12,2388,MXN
2026-08-28,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,10388,266,293.47,7,8,1592,MXN
2026-08-28,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,14692,411,2470.51,15,16,10384,MXN
2026-08-28,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,9316,257,1514.18,9,9,5841,MXN
2026-08-28,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,9962,217,338.64,5,5,1295,MXN
2026-08-28,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,5944,135,207.56,3,3,777,MXN
2026-08-28,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7260,177,1013.14,3,3,1287,MXN
2026-08-28,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4670,116,620.95,2,2,858,MXN
2026-08-29,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,19891,415,606.49,14,15,2985,MXN
2026-08-29,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11391,270,371.72,8,9,1791,MXN
2026-08-29,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,16375,497,2644.76,17,17,11033,MXN
2026-08-29,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,10494,289,1620.99,11,12,7788,MXN
2026-08-29,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,10389,350,455.53,7,7,1813,MXN
2026-08-29,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6834,213,279.2,4,4,1036,MXN
2026-08-29,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8999,205,1071.32,4,4,1716,MXN
2026-08-29,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,6209,118,656.62,2,2,858,MXN
2026-08-30,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,23732,475,795.68,17,17,3383,MXN
2026-08-30,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,15405,289,487.68,10,10,1990,MXN
2026-08-30,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,17980,499,3356.75,17,17,11033,MXN
2026-08-30,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,11881,308,2057.37,11,12,7788,MXN
2026-08-30,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,14040,366,431.79,7,7,1813,MXN
2026-08-30,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,8900,207,264.65,4,4,1036,MXN
2026-08-30,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,10952,229,1009.65,4,4,1716,MXN
2026-08-30,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,6791,150,618.81,2,2,858,MXN
2026-08-31,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,16850,403,545.36,12,13,2587,MXN
2026-08-31,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,10353,228,334.26,7,7,1393,MXN
2026-08-31,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,14194,350,2226.04,11,11,7139,MXN
2026-08-31,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,7971,195,1364.34,8,8,5192,MXN
2026-08-31,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,10081,261,318.7,7,7,1813,MXN
2026-08-31,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6465,179,195.34,4,4,1036,MXN
2026-08-31,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8833,254,1414.0,4,4,1716,MXN
2026-08-31,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5179,152,866.64,3,3,1287,MXN
2026-09-01,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,17578,395,401.64,11,12,2388,MXN
2026-09-01,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,12363,225,246.17,6,6,1194,MXN
2026-09-01,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13247,394,1944.23,10,10,6490,MXN
2026-09-01,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,7827,227,1191.62,7,7,4543,MXN
2026-09-01,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,11286,342,467.01,9,9,2331,MXN
2026-09-01,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7673,199,286.24,5,5,1295,MXN
2026-09-01,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,9416,223,1181.97,4,4,1716,MXN
2026-09-01,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5444,128,724.43,2,2,858,MXN
2026-09-02,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,16754,334,417.25,9,9,1791,MXN
2026-09-02,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11713,205,255.74,6,6,1194,MXN
2026-09-02,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,17055,296,1887.88,12,12,7788,MXN
2026-09-02,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,10312,190,1157.09,6,6,3894,MXN
2026-09-02,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,10495,210,307.18,5,5,1295,MXN
2026-09-02,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6542,133,188.27,3,3,777,MXN
2026-09-02,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7299,215,1080.79,3,3,1287,MXN
2026-09-02,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4324,128,662.42,2,2,858,MXN
2026-09-03,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,21138,510,648.59,15,16,3184,MXN
2026-09-03,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,12331,306,397.53,8,8,1592,MXN
2026-09-03,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,14576,275,1295.08,8,9,5841,MXN
2026-09-03,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8507,164,793.76,4,4,2596,MXN
2026-09-03,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12056,212,251.99,5,5,1295,MXN
2026-09-03,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7690,136,154.45,3,3,777,MXN
2026-09-03,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,10425,171,980.62,3,3,1287,MXN
2026-09-03,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,6024,104,601.03,2,2,858,MXN
2026-09-04,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,21980,660,1060.63,24,27,5373,MXN
2026-09-04,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,12514,413,650.06,13,14,2786,MXN
2026-09-04,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,14109,353,1723.04,12,12,7788,MXN
2026-09-04,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8806,223,1056.05,8,9,5841,MXN
2026-09-04,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,10291,199,301.05,5,5,1295,MXN
2026-09-04,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,5759,133,184.52,2,2,518,MXN
2026-09-04,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8513,246,1328.23,4,4,1716,MXN
2026-09-04,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5269,141,814.08,3,3,1287,MXN
2026-09-05,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,21186,515,632.87,13,13,2587,MXN
2026-09-05,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,13232,316,387.88,9,9,1791,MXN
2026-09-05,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,17801,450,2472.76,16,17,11033,MXN
2026-09-05,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,11261,261,1515.57,8,8,5192,MXN
2026-09-05,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12172,274,298.91,5,5,1295,MXN
2026-09-05,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7120,156,183.21,4,4,1036,MXN
2026-09-05,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8904,183,958.36,4,4,1716,MXN
2026-09-05,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5586,117,587.38,2,2,858,MXN
2026-09-06,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,22857,545,765.97,17,18,3582,MXN
2026-09-06,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,13844,356,469.46,11,11,2189,MXN
2026-09-06,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,16284,507,2818.3,14,14,9086,MXN
2026-09-06,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,10913,275,1727.35,10,10,6490,MXN
2026-09-06,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,14369,364,579.61,10,11,2849,MXN
2026-09-06,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,8877,244,355.25,7,7,1813,MXN
2026-09-06,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,11638,315,1610.11,6,6,2574,MXN
2026-09-06,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,7793,192,986.84,3,3,1287,MXN
2026-09-07,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,21119,499,697.69,17,19,3781,MXN
2026-09-07,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,13766,300,427.61,9,10,1990,MXN
2026-09-07,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13392,323,1787.3,10,10,6490,MXN
2026-09-07,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8205,210,1095.44,8,8,5192,MXN
2026-09-07,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,11923,263,360.05,6,6,1554,MXN
2026-09-07,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6810,159,220.68,4,4,1036,MXN
